Name,Team,ERA,IP,TBF,HR,BB,HBP,SO
Zach Duke,CIN,5.01,23.1,106,4,18,2,18
Jeremy Jeffress,MIL,5.02,52,225,5,17,5,46
Elieser Hernandez,MIA,5.03,82.1,353,20,26,9,85
Patrick Sandoval,LAA,5.03,39.1,169,6,19,1,42
DJ Johnson,COL,5.04,25,116,1,19,3,24
Johnny Cueto,SFG,5.06,16,67,3,9,0,13
Luis Avilan,NYM,5.06,32,141,5,14,3,30
Ray Black,- - -,5.06,16,70,5,9,1,18
Tyler Beede,SFG,5.08,117,523,22,46,5,113
Ryan Weber,BOS,5.09,40.2,181,5,8,3,29
Pablo Lopez,MIA,5.09,111.1,469,15,27,11,95
Martin Perez,MIN,5.12,165.1,737,23,67,3,135
Matt Albers,MIL,5.13,59.2,258,8,29,3,57
Tyler Mahle,CIN,5.14,129.2,556,25,34,6,129
Brendan McKay,TBR,5.14,49,216,8,16,0,56
Cal Quantrill,SDP,5.16,103,443,15,28,3,89
Steven Brault,PIT,5.16,113.1,505,15,53,7,100
Chris Archer,PIT,5.19,119.2,526,25,55,4,143
Carlos Rodon,CHW,5.19,34.2,158,4,17,1,46
Javy Guerra,SDP,5.19,8.2,36,3,3,0,6
Daniel Zamora,NYM,5.19,8.2,41,1,5,1,8
Jose Urena,MIA,5.21,84.2,369,13,26,2,62
Brian Flynn,KCR,5.22,29.1,139,2,17,3,22
Logan Webb,SFG,5.22,39.2,174,5,14,1,37
Jakob Junis,KCR,5.24,175.1,771,31,58,11,164
Lou Trivino,OAK,5.25,60,269,7,31,3,57
Chi Chi Gonzalez,COL,5.29,63,278,11,33,1,46
Carlos Carrasco,CLE,5.29,80,341,18,16,2,96
Conner Menez,SFG,5.29,17,73,4,12,0,22
Freddy Peralta,MIL,5.29,85,382,15,37,2,115
Taylor Clarke,ARI,5.31,84.2,369,23,30,6,68
Adam Warren,SDP,5.34,28.2,124,9,12,1,25
Paul Fry,BAL,5.34,57.1,255,7,29,6,55
Elvis Luciano,TOR,5.35,33.2,159,4,24,3,27
Richard Bleier,BAL,5.37,55.1,235,6,8,4,30
Robbie Erlin,SDP,5.37,55.1,251,6,15,1,52
Dillon Peters,LAA,5.38,72,327,18,26,5,55
Bryan Shaw,COL,5.38,72,311,12,29,5,58
Trevor Williams,PIT,5.38,145.2,636,27,44,7,113
Reynaldo Lopez,CHW,5.38,184,809,35,65,8,169
Nick Pivetta,PHI,5.38,93.2,421,20,39,4,89
Humberto Arteaga,KCR,5.4,1.2,8,1,1,0,0
Locke St. John,TEX,5.4,6.2,33,0,4,0,5
David Robertson,PHI,5.4,6.2,33,1,6,0,6
Edubray Ramos,PHI,5.4,15,69,5,7,1,11
Brad Boxberger,KCR,5.4,26.2,122,3,17,1,27
Duane Underwood Jr.,CHC,5.4,11.2,51,2,3,1,13
David Carpenter,TEX,5.4,3.1,19,0,4,0,2
Junior Fernandez,STL,5.4,11.2,54,2,6,4,16
Neil Ramirez,- - -,5.4,25,112,7,15,0,24
Dillon Maples,CHC,5.4,11.2,54,2,10,4,18
Hector Velazquez,BOS,5.43,56.1,246,7,28,3,49
Shaun Anderson,SFG,5.44,96,427,13,38,2,70
Wes Parsons,- - -,5.45,34.2,157,6,29,2,26
Yusei Kikuchi,SEA,5.46,161.2,721,36,50,6,116
Brad Brach,- - -,5.47,54.1,242,4,31,1,60
David McKay,- - -,5.47,26.1,115,3,17,1,34
Cy Sneed,HOU,5.48,21.1,93,5,5,0,23
Joe Ross,WSN,5.48,64,295,7,33,4,57
Burch Smith,- - -,5.48,21.1,106,3,14,1,20
Travis Bergen,SFG,5.49,19.2,85,4,9,1,18
Justus Sheffield,SEA,5.5,36,168,5,18,3,37
Chris Mazza,NYM,5.51,16.1,74,0,5,4,11
Dan Altavilla,SEA,5.52,14.2,64,1,12,0,18
Rick Porcello,BOS,5.52,174.1,768,31,45,6,143
Dominic Leone,STL,5.53,40.2,180,9,22,0,46
Hunter Strickland,- - -,5.55,24.1,105,6,8,3,18
Justin Anderson,LAA,5.55,47,217,6,32,1,60
Yency Almonte,COL,5.56,34,157,7,14,1,29
Chris Stratton,- - -,5.57,76,344,13,33,0,69
Clay Holmes,PIT,5.58,50,240,5,36,9,56
Edwin Diaz,NYM,5.59,58,254,15,22,4,99
Corbin Martin,HOU,5.59,19.1,92,8,12,0,19
Matt Wisler,- - -,5.61,51.1,224,10,16,0,63
Gabriel Ynoa,BAL,5.61,110.2,480,29,26,3,67
Kyle Barraclough,- - -,5.61,33.2,164,9,21,2,40
Touki Toussaint,ATL,5.62,41.2,198,5,26,7,45
Jose Ruiz,CHW,5.63,40,198,6,24,2,35
Dereck Rodriguez,SFG,5.64,99,439,21,36,2,71
Matthew Festa,SEA,5.64,22.1,101,5,12,2,21
Aaron Brooks,- - -,5.65,110,482,21,34,10,82
Trey Wingenter,SDP,5.65,51,218,5,28,5,72
Ian Gibaut,- - -,5.65,14.1,64,1,10,1,16
Fernando Rodney,- - -,5.66,47.2,210,5,28,0,49
Nestor Cortes,NYY,5.67,66.2,298,16,28,1,69
Wandy Peralta,- - -,5.67,39.2,172,11,16,2,32
Jeurys Familia,NYM,5.7,60,274,7,42,3,63
Jerad Eickhoff,PHI,5.71,58.1,245,18,18,2,51
Wade LeBlanc,SEA,5.71,121.1,532,28,31,1,92
Brad Wieck,- - -,5.71,34.2,148,8,13,3,49
Kevin Gausman,- - -,5.72,102.1,451,15,32,5,114
Pedro Payano,TEX,5.73,22,103,3,15,1,17
Erik Swanson,SEA,5.74,58,245,17,12,2,52
Shawn Armstrong,- - -,5.74,58,271,8,29,4,63
Josh Lucas,BAL,5.74,15.2,69,2,7,0,16
Jose Quijada,MIA,5.76,29.2,144,10,26,4,44
Robert Dugger,MIA,5.77,34.1,156,6,17,5,25
Edgar Garcia,PHI,5.77,39,172,11,26,0,45
Gregory Soto,DET,5.77,57.2,276,9,33,0,45
Andrew Suarez,SFG,5.79,32.2,148,7,14,1,25
Anthony Kay,TOR,5.79,14,63,0,5,1,13
Yohander Mendez,TEX,5.79,4.2,21,2,5,0,8
Dylan Cease,CHW,5.79,73,326,15,35,2,81
Wily Peralta,KCR,5.8,40.1,176,7,19,2,24
Corey Kluber,CLE,5.8,35.2,168,4,15,3,38
Alex Wood,CIN,5.8,35.2,153,11,9,1,30
Josh A. Smith,BOS,5.81,31,139,10,8,3,29
Taylor Guerrieri,TEX,5.81,26.1,123,3,22,2,27
Ariel Jurado,TEX,5.81,122.1,541,21,36,4,81
Cole Irvin,PHI,5.83,41.2,181,7,13,3,31
Framber Valdez,HOU,5.86,70.2,329,9,44,4,68
Adrian Sampson,TEX,5.89,125.1,563,29,36,9,101
Jimmie Sherfy,ARI,5.89,18.1,83,4,5,1,22
Aaron Sanchez,- - -,5.89,131.1,605,20,68,11,115
Drew VerHagen,DET,5.9,58,258,9,23,4,51
Eduardo Jimenez,DET,5.91,10.2,49,1,5,0,8
Taylor Cole,LAA,5.92,51.2,231,2,24,2,50
Branden Kline,BAL,5.93,41,183,9,19,1,34
Ronald Bolanos,SDP,5.95,19.2,88,3,12,1,19
Clayton Richard,TOR,5.96,45.1,201,9,18,4,22
Zack Godley,- - -,5.97,92,407,14,42,5,70
Trevor Cahill,LAA,5.98,102.1,455,25,39,6,81
Nathan Eovaldi,BOS,5.99,67.2,302,16,35,3,70
Reggie McClain,SEA,6,21,95,2,13,0,11
Tom Murphy,SEA,6,3,11,0,1,0,2
Jhoulys Chacin,- - -,6.01,103.1,470,25,46,5,101
Glenn Sparkman,KCR,6.02,136,606,30,41,6,81
Brian Johnson,BOS,6.02,40.1,193,6,23,0,31
Tanner Anderson,OAK,6.04,22.1,105,4,7,0,18
Chad Bettis,COL,6.08,63.2,287,10,21,5,42
Derek Holland,- - -,6.08,84.1,376,20,45,4,82
Tyson Ross,DET,6.11,35.1,162,7,18,1,25
Kelvin Herrera,CHW,6.14,51.1,235,8,23,1,53
Phil Maton,- - -,6.14,36.2,163,7,12,2,33
Brooks Pounders,NYM,6.14,7.1,34,1,2,1,5
Thomas Pannone,TOR,6.16,73,325,13,31,6,69
Lewis Thorpe,MIN,6.18,27.2,124,3,10,0,31
Logan Allen,- - -,6.18,27.2,127,4,13,2,17
Chad Sobotka,ATL,6.21,29,134,6,19,3,38
Jeremy Hellickson,WSN,6.23,39,183,9,20,1,30
John Schreiber,DET,6.23,13,59,3,4,1,19
Drew Smyly,- - -,6.24,114,514,32,55,2,120
Carson Fulmer,CHW,6.26,27.1,133,5,20,3,25
Tayron Guerrero,MIA,6.26,46,216,7,36,6,43
Cody Allen,LAA,6.26,23,116,9,20,0,29
Drew Steckenrider,MIA,6.28,14.1,58,6,5,1,14
Jonathan Holder,NYY,6.31,41.1,181,8,11,2,46
JT Chargois,LAD,6.33,21.1,88,4,5,2,28
Jorge Lopez,KCR,6.33,123.2,548,27,42,10,109
Matt Grace,WSN,6.36,46.2,206,11,10,2,35
Kohl Stewart,MIN,6.39,25.1,109,5,8,1,10
Josh D. Smith,- - -,6.39,12.2,64,0,11,3,14
Tyler Lyons,- - -,6.39,12.2,54,4,5,1,17
Jeffrey Springs,TEX,6.4,32.1,155,4,23,0,32
Felix Hernandez,SEA,6.4,71.2,325,17,25,6,57
Jaime Barria,LAA,6.42,82.2,365,24,27,2,75
Evan Phillips,BAL,6.43,28,140,2,20,5,40
Dillon Tate,BAL,6.43,21,93,3,9,5,20
Thomas Eshelman,BAL,6.5,36,164,12,11,1,22
Adam Conley,MIA,6.53,60.2,283,10,29,3,53
Austin Davis,PHI,6.53,20.2,98,6,14,3,24
Craig Kimbrel,CHC,6.53,20.2,96,9,12,2,30
David Bednar,SDP,6.55,11,48,3,5,0,14
Jeff Hoffman,COL,6.56,70,315,21,34,4,68
Clay Buchholz,TOR,6.56,59,254,13,16,1,39
Wei-Yin Chen,MIA,6.59,68.1,307,15,18,5,63
Chris Flexen,NYM,6.59,13.2,70,1,13,0,10
Ross Detwiler,CHW,6.59,69.2,315,20,27,3,46
Adalberto Mejia,- - -,6.61,31.1,145,4,21,0,30
Chandler Shepherd,BAL,6.63,19,84,5,6,2,17
Sam Howard,COL,6.63,19,91,5,10,3,23
Mike Mayers,STL,6.63,19,88,3,11,1,16
Hector Santiago,- - -,6.68,33.2,163,8,22,0,40
Antonio Senzatela,COL,6.71,124.2,582,19,57,4,76
Kyle Freeland,COL,6.73,104.1,473,25,39,2,79
Rookie Davis,PIT,6.75,10.2,51,3,8,0,10
Edinson Volquez,TEX,6.75,16,75,3,12,0,10
Anthony Banda,TBR,6.75,4,18,0,0,0,2
Jordan Montgomery,NYY,6.75,4,19,1,0,0,5
Tony Barnette,CHC,6.75,1.1,5,1,0,0,0
Fernando Salas,PHI,6.75,2.2,15,1,0,0,3
Jake Faria,- - -,6.75,18.2,95,5,12,1,19
Stevie Wilkerson,BAL,6.75,5.1,22,2,0,0,1
Nick Margevicius,SDP,6.79,57,263,12,19,3,42
Jimmy Yacabonis,BAL,6.8,41,193,9,24,2,33
Jake Jewell,LAA,6.84,26.1,114,8,8,3,23
Marco Estrada,OAK,6.85,23.2,106,7,8,3,11
Pete Fairbanks,- - -,6.86,21,99,5,10,0,28
Jordan Zimmermann,DET,6.91,112,504,19,25,6,82
Yacksel Rios,- - -,6.92,13,65,4,8,3,12
Manny Banuelos,CHW,6.93,50.2,235,12,33,1,44
Stephen Tarpley,NYY,6.93,24.2,120,6,15,2,34
Bobby Poyner,BOS,6.94,11.2,49,2,5,1,11
Jimmy Nelson,MIL,6.95,22,105,4,17,2,26
Tyler Bashlor,NYM,6.95,22,103,6,17,0,20
Austin Adams,- - -,7.02,16.2,80,4,13,0,14
A.J. Minter,ATL,7.06,29.1,147,3,23,1,35
Fernando Romero,MIN,7.07,14,72,2,11,1,18
David Hess,BAL,7.09,80,365,28,30,2,68
Matt Harvey,LAA,7.09,59.2,266,13,29,3,39
Miguel Diaz,SDP,7.11,6.1,29,1,1,2,4
Jose Suarez,LAA,7.11,81,375,23,33,10,72
Mitch Keller,PIT,7.13,48,227,6,16,1,65
Mike Dunn,COL,7.13,17.2,75,4,6,0,15
Michael Blazek,WSN,7.2,5,26,1,5,0,0
Jaime Schultz,LAD,7.2,5,22,1,3,0,3
Dennis Santana,LAD,7.2,5,27,1,4,2,6
Bryse Wilson,ATL,7.2,20,93,5,10,0,16
Peter Lambert,COL,7.25,89.1,420,18,36,6,57
Kyle Dowdy,TEX,7.25,22.1,110,4,18,1,17
Nick Kingham,- - -,7.28,55.2,259,11,25,0,46
Adbert Alzolay,CHC,7.3,12.1,60,4,9,1,13
Aaron Wilkerson,MIL,7.31,16,80,4,9,0,11
Keury Mella,CIN,7.36,3.2,18,0,2,0,4
Phillip Diehl,COL,7.36,7.1,35,1,2,1,8
Enyel De Los Santos,PHI,7.36,11,46,4,5,0,9
Hoby Milner,TBR,7.36,3.2,17,0,1,1,3
Gabe Speier,KCR,7.36,7.1,33,2,6,0,10
Yefry Ramirez,- - -,7.4,24.1,119,4,16,4,27
Brock Burke,TEX,7.43,26.2,120,6,11,2,14
Jacob Barnes,- - -,7.44,32.2,160,7,22,0,32
Carlos Torres,DET,7.5,6,29,2,1,1,8
Drew Anderson,PHI,7.5,6,30,1,6,0,6
Sean Poppen,MIN,7.56,8.1,36,1,5,0,9
Gerardo Reyes,SDP,7.62,26,117,3,11,3,38
Jordan Romano,TOR,7.63,15.1,75,4,9,4,21
Richard Lovelady,KCR,7.65,20,96,2,8,1,17
Andrew Moore,SEA,7.71,4.2,20,2,1,0,2
Matt Hall,DET,7.71,23.1,113,4,15,1,27
Tyler Thornburg,BOS,7.71,18.2,86,4,10,1,22
Sal Romano,CIN,7.71,16.1,77,4,8,1,16
Parker Markel,- - -,7.77,22,110,6,17,3,24
Kyle Bird,TEX,7.82,12.2,65,5,15,2,10
Luis Escobar,PIT,7.94,5.2,29,1,4,1,2
Luke Gregerson,STL,7.94,5.2,27,0,1,0,2
Dylan Covey,CHW,7.98,58.2,280,12,28,3,41
Mike Wright Jr.,- - -,7.98,29.1,147,6,12,2,30
Josh Sborz,LAD,8,9,40,2,4,0,7
David Hernandez,CIN,8.02,42.2,198,7,20,1,53
Heath Fillmyer,KCR,8.06,22.1,109,6,12,3,15
Roman Quinn,PHI,8.1,3.1,19,0,3,0,1
Reed Garrett,DET,8.22,15.1,77,3,13,1,10
Jeanmar Gomez,TEX,8.22,15.1,73,2,6,1,10
Garrett Richards,SDP,8.31,8.2,41,2,6,0,11
James Marvel,PIT,8.31,17.1,84,4,6,2,9
Walker Lockett,NYM,8.34,22.2,103,6,6,1,16
Jesse Biddle,- - -,8.36,28,152,5,22,4,26
Drew Gagnon,NYM,8.37,23.2,117,11,7,2,17
Hector Noesi,MIA,8.46,27.2,124,7,14,1,24
Carl Edwards Jr.,- - -,8.47,17,78,3,13,1,19
Steven Wright,BOS,8.53,6.1,33,3,4,1,5
Chance Adams,NYY,8.53,25.1,124,7,11,2,23
Shelby Miller,TEX,8.59,44,220,8,29,3,30
Trevor Kelley,BOS,8.64,8.1,40,2,5,0,6
Wade Davis,COL,8.65,42.2,206,7,29,2,42
Zac Reininger,DET,8.68,28,140,11,16,0,17
Kyle Wright,ATL,8.69,19.2,93,4,13,1,18
Alex McRae,PIT,8.78,26.2,132,9,16,3,19
Josh Rogers,BAL,8.79,14.1,69,7,6,4,5
Corbin Burnes,MIL,8.82,49,235,17,20,0,70
Jeff Mathis,TEX,9,2,9,1,0,0,1
Eduardo Nunez,BOS,9,1,4,1,0,0,0
Tim Federowicz,TEX,9,1,6,1,0,0,0
Kendrys Morales,OAK,9,1,7,0,2,1,0
Chris Davis,BAL,9,1,5,1,0,0,1
Mike Freeman,CLE,9,2,8,1,0,0,0
Aaron Altherr,PHI,9,1,5,0,0,0,2
Joe Mantiply,NYY,9,3,14,1,2,0,2
Victor Caratini,CHC,9,2,9,1,1,0,0
Brandon Dixon,DET,9,2,9,1,0,2,1
Eric Skoglund,KCR,9,21,101,5,9,1,4
Sandy Baez,DET,9,1,5,0,0,0,0
Geoff Hartlieb,PIT,9,35,171,8,18,0,38
Chasen Shreve,STL,9,2,10,0,1,1,2
Thyago Vieira,CHW,9,7,37,0,5,0,8
Matt Koch,ARI,9.15,20.2,96,8,4,5,9
Joseph Palumbo,TEX,9.18,16.2,81,7,8,2,21
R.J. Alaniz,- - -,9.19,15.2,71,3,7,0,13
Ryan Carpenter,DET,9.3,40.2,197,12,13,2,25
Seunghwan Oh,COL,9.33,18.1,88,6,6,0,16
Cody Anderson,CLE,9.35,8.2,46,1,8,1,9
Nick Burdi,PIT,9.35,8.2,40,1,3,0,17
Montana DuRapau,PIT,9.35,17.1,90,4,9,2,22
Ervin Santana,CHW,9.45,13.1,64,6,6,0,5
Odrisamer Despaigne,CHW,9.45,13.1,68,3,7,1,7
Alex Wilson,MIL,9.53,11.1,57,3,9,0,13
Edwin Jackson,- - -,9.58,67.2,336,23,32,3,52
Shane Carle,ATL,9.64,9.1,49,3,9,3,6
Michael Shawaryn,BOS,9.74,20.1,103,5,13,5,29
Taylor Williams,MIL,9.82,14.2,73,1,7,2,15
Brock Stewart,- - -,9.82,25.2,124,11,8,3,19
Dan Straily,BAL,9.82,47.2,236,22,22,2,33
Nick Tropeano,LAA,9.88,13.2,66,6,6,2,10
Cionel Perez,HOU,10,9,40,3,2,0,7
Brady Lail,NYY,10.12,2.2,10,1,1,0,2
Kyle McGowin,WSN,10.13,16,76,7,4,1,18
Adrian Morejon,SDP,10.13,8,42,1,3,0,9
Robert Stock,SDP,10.13,10.2,56,2,8,1,15
Caleb Frare,CHW,10.13,2.2,14,1,4,0,3
Trevor Hildenberger,MIN,10.47,16.1,88,2,7,3,15
Rico Garcia,COL,10.5,6,30,3,5,0,2
Miguel Del Pozo,LAA,10.61,9.1,45,3,8,0,11
Dovydas Neverauskas,PIT,10.61,9.1,53,2,7,2,10
Paul Blackburn,OAK,10.64,11,57,3,4,1,8
Ryan Borucki,TOR,10.8,6.2,40,2,6,0,6
Stephen Nogosek,NYM,10.8,6.2,34,2,2,0,6
Kyle Zimmer,KCR,10.8,18.1,102,2,19,0,18
Luis Ortiz,BAL,10.8,3.1,18,2,5,0,3
Alex Cobb,BAL,10.95,12.1,60,9,2,0,8
Gerson Bautista,SEA,11,9,49,2,9,0,7
Ryan Feierabend,TOR,11.12,5.2,29,2,1,0,4
Tyler Anderson,COL,11.76,20.2,106,8,11,0,23
Reymin Guduan,HOU,11.81,5.1,27,3,4,0,6
Erasmo Ramirez,BOS,12,3,15,2,1,1,1
Ryan Garton,SEA,12,3,14,2,1,0,1
Ty Blach,- - -,12,27,139,8,17,0,20
Corey Oswalt,NYM,12.15,6.2,34,1,6,0,5
Bryan Garcia,DET,12.15,6.2,33,1,5,0,7
Jonny Venters,- - -,12.38,8,49,3,10,2,12
Ryan Dull,- - -,12.79,12.2,71,5,7,1,15
Trevor Rosenthal,- - -,13.5,15.1,85,0,26,4,17
Jesse Hahn,KCR,13.5,4.2,27,1,6,0,7
Dan Jennings,WSN,13.5,4.2,32,1,7,1,9
Tayler Scott,- - -,14.33,16.1,93,6,11,4,14
Jake Barrett,NYY,14.73,3.2,19,2,2,0,4
Alex Reyes,STL,15,3,17,1,6,0,1
Matt Wotherspoon,BAL,15.43,4.2,26,2,2,1,2
Aaron Barrett,WSN,15.43,2.1,16,1,4,0,1
Ricardo Pinto,TBR,15.43,2.1,13,1,2,0,0
Brady Rodgers,HOU,16.2,5,25,4,3,0,4
Pat Venditte,SFG,16.2,3.1,19,1,2,3,2
Jose Fernandez,DET,17.18,3.2,23,1,5,1,2
Mark Reynolds,COL,18,1,7,0,1,1,0
Daniel Descalso,CHC,18,1,5,1,0,0,0
Brian Dozier,WSN,18,1,5,1,0,0,0
Hanser Alberto,BAL,18,1,7,1,2,1,0
Huascar Ynoa,ATL,18,3,16,1,1,0,3
Alex Gordon,KCR,19.29,2.1,17,1,2,0,0
Sean Gilmartin,BAL,19.29,2.1,16,2,2,0,1
Chris Owings,KCR,21.6,1.2,12,2,1,0,0
Tyler White,HOU,21.6,3.1,22,4,5,0,2
Mike Ford,NYY,22.5,2,12,2,0,0,1
Austin Romine,NYY,27,1,7,2,0,0,0
Ehire Adrianza,MIN,27,1,8,0,0,0,1
John Ryan Murphy,ARI,27,3,22,3,3,0,0
Ben Lively,KCR,27,1,6,1,0,0,1
Andrew Vasquez,MIN,27,0,3,0,2,1,0
Nick Rumbelow,SEA,27,1.1,9,2,1,0,2
Pedro Araujo,BAL,27,0.2,4,1,1,0,0
Yennsy Diaz,TOR,27,0.2,7,0,4,0,0
Chase De Jong,MIN,36,1,9,1,3,0,0
Richard Urena,TOR,36,1,8,1,1,0,0
Dylan Moore,SEA,36,1,10,0,2,0,0
Chris Rusin,COL,36,1,9,1,1,0,0
Gerardo Parra,WSN,45,0,5,0,4,0,0
Deolis Guerra,MIL,54,0.2,6,1,0,0,0
James Bourque,WSN,54,0.2,6,0,2,0,0
Taylor Hearn,TEX,108,0.1,8,0,4,0,0
Austen Williams,WSN,162,0.1,7,2,1,0,1
