Name,Team,ERA,IP,TBF,HR,BB,HBP,SO
Sandy Alcantara,MIA,3.88,197.1,838,23,81,8,151
Brett Anderson,OAK,3.89,176,743,20,49,4,90
Anthony DeSclafani,CIN,3.89,166.2,696,29,49,4,167
Jerry Blevins,ATL,3.9,32.1,141,5,16,2,37
Mike Fiers,OAK,3.9,184.2,754,30,53,9,126
Madison Bumgarner,SFG,3.9,207.2,844,30,43,10,203
Juan Minaya,CHW,3.9,27.2,126,4,12,2,27
Tanner Rainey,WSN,3.91,48.1,214,6,38,4,74
Andres Munoz,SDP,3.91,23,97,2,11,0,30
Phillips Valdez,TEX,3.94,16,75,3,9,2,18
Austin Adams,- - -,3.94,32,130,4,16,1,53
Adam Morgan,PHI,3.94,29.2,120,4,10,3,29
Devin Williams,MIL,3.95,13.2,67,2,6,2,14
Jose Urquidy,HOU,3.95,41,167,6,7,0,40
Roenis Elias,- - -,3.96,50,216,10,18,1,47
Zack Wheeler,NYM,3.96,195.1,828,22,50,2,195
Ryne Stanek,- - -,3.97,77,327,11,39,0,89
Yu Darvish,CHC,3.98,178.2,731,33,56,11,229
Wade Miley,HOU,3.98,167.1,720,23,61,5,140
Ty Buttrey,LAA,3.98,72.1,309,8,23,5,84
Oliver Perez,CLE,3.98,40.2,173,5,12,3,48
Marco Gonzales,SEA,3.99,203,866,23,56,6,147
Noe Ramirez,LAA,3.99,67.2,280,9,20,5,79
Michael Feliz,PIT,3.99,56.1,239,11,27,2,73
Luis Perdomo,SDP,4,72,296,6,18,2,55
Rogelio Armenteros,HOU,4,18,75,1,5,0,18
Michael Pineda,MIN,4.01,146,600,23,28,5,140
Seranthony Dominguez,PHI,4.01,24.2,110,3,12,1,29
Max Fried,ATL,4.02,165.2,702,21,47,5,173
Justin Miller,WSN,4.02,15.2,65,5,4,2,11
Domingo German,NYY,4.03,143,594,30,39,5,153
Jared Hughes,- - -,4.04,71.1,289,13,27,2,54
Kenta Maeda,LAD,4.04,153.2,624,22,51,4,169
Sean Doolittle,WSN,4.05,60,260,11,15,2,66
Buddy Boshers,TOR,4.05,20,91,3,10,1,26
Trevor Richards,- - -,4.06,135.1,580,19,56,5,127
Chaz Roe,TBR,4.06,51,229,3,31,1,65
Alex Claudio,MIL,4.06,62,267,8,24,6,44
Cory Gearrin,- - -,4.07,55.1,241,5,25,4,47
Nick Ramirez,DET,4.07,79.2,348,11,35,1,74
Dinelson Lamet,SDP,4.07,73,313,12,30,5,105
Matt Magill,- - -,4.09,50.2,229,7,20,2,64
Jameson Taillon,PIT,4.1,37.1,158,4,8,2,30
Luis Cessa,NYY,4.11,81,343,14,31,3,75
Colten Brewer,BOS,4.12,54.2,253,6,34,2,52
Brad Peacock,HOU,4.12,91.2,383,15,31,5,96
Ryan Yarbrough,TBR,4.13,141.2,563,15,20,9,117
Zach Eflin,PHI,4.13,163.1,705,28,48,6,129
Jordan Lyles,- - -,4.15,141,599,25,55,1,146
Zac Grotz,SEA,4.15,17.1,73,0,8,1,18
Fernando Abad,SFG,4.15,13,49,2,3,0,9
Miles Mikolas,STL,4.16,184,764,27,32,12,144
Raisel Iglesias,CIN,4.16,67,279,12,21,2,89
Tony Watson,SFG,4.17,54,231,9,12,5,41
Andrew Kittredge,TBR,4.17,49.2,210,7,12,2,58
Chad Green,NYY,4.17,69,295,10,19,6,98
Joey Lucchesi,SDP,4.18,163.2,686,23,56,2,158
Brad Keller,KCR,4.19,165.1,709,15,70,9,122
Adam Wainwright,STL,4.19,171.2,745,22,64,8,153
Chase Anderson,MIL,4.21,139,592,23,50,8,124
Steven Matz,NYM,4.21,160.1,691,27,52,7,153
Scott Barlow,KCR,4.22,70.1,310,6,37,3,92
Dylan Floro,LAD,4.24,46.2,201,4,14,2,42
Brian Moran,MIA,4.26,6.1,29,1,2,2,10
Sean Reid-Foley,TOR,4.26,31.2,150,5,21,2,28
Jimmy Herget,CIN,4.26,6.1,26,2,3,0,0
Jacob Rhame,NYM,4.26,6.1,30,1,9,0,5
David Price,BOS,4.28,107.1,458,15,32,3,128
