Name,Team,FB%,Hard%
Phillips Valdez,TEX,28.90%,28.30%
Jameson Taillon,PIT,27.00%,35.60%
Jake Diekman,- - -,26.00%,29.10%
Andrew Kittredge,TBR,27.50%,29.00%
Jose Alvarez,PHI,27.30%,29.90%
Yefry Ramirez,- - -,28.20%,31.90%
Dylan Floro,LAD,28.50%,30.80%
Brandon Workman,BOS,28.60%,37.80%
Richard Lovelady,KCR,27.90%,42.90%
JT Chargois,LAD,26.40%,41.50%
Tanner Rainey,WSN,29.50%,35.70%
Stephen Strasburg,WSN,28.60%,30.50%
Williams Jerez,- - -,30.00%,60.00%
Johnny Cueto,SFG,30.20%,40.00%
Tommy Kahnle,NYY,28.50%,34.10%
Rowan Wick,CHC,30.60%,29.10%
Juan Nicasio,PHI,26.00%,40.90%
Kyle Zimmer,KCR,24.60%,33.80%
Justus Sheffield,SEA,29.90%,33.90%
Jose Urena,MIA,28.60%,43.40%
Joe Biagini,- - -,26.40%,39.20%
Casey Sadler,- - -,29.80%,37.00%
Evan Marshall,CHW,29.60%,25.70%
Fernando Rodney,- - -,28.60%,31.60%
Drew VerHagen,DET,29.40%,40.00%
Frankie Montas,OAK,28.50%,37.90%
Matt Grace,WSN,28.20%,38.40%
John Gant,STL,26.90%,35.40%
Brad Keller,KCR,29.10%,36.60%
Kohl Stewart,MIN,28.10%,38.90%
Pedro Strop,CHC,30.80%,33.70%
Matt Albers,MIL,29.50%,32.00%
Wandy Peralta,- - -,29.70%,34.40%
Jonathan Hernandez,TEX,30.40%,30.40%
Patrick Sandoval,LAA,27.20%,45.80%
Peter Lambert,COL,27.60%,39.60%
Andrew Suarez,SFG,28.70%,40.70%
Matt Andriese,ARI,29.40%,39.00%
Jeremy Jeffress,MIL,28.40%,34.40%
Craig Stammen,SDP,29.80%,32.10%
David Hale,NYY,29.40%,27.00%
Adam Wainwright,STL,28.70%,42.10%
Ryan Weber,BOS,28.60%,28.40%
Jeurys Familia,NYM,30.10%,35.50%
Fernando Romero,MIN,31.00%,40.50%
German Marquez,COL,29.00%,37.90%
Derek Law,TOR,29.70%,38.90%
T.J. Zeuch,TOR,27.90%,44.10%
Kyle Dowdy,TEX,26.00%,41.90%
Aaron Nola,PHI,29.50%,41.90%
Stefan Crichton,ARI,31.30%,48.80%
Oliver Drake,TBR,31.30%,39.50%
Wade Miley,HOU,29.80%,35.90%
Fernando Salas,PHI,25.00%,50.00%
Brooks Pounders,NYM,24.00%,26.90%
Roman Quinn,PHI,20.00%,53.30%
Victor Alcantara,DET,32.10%,37.60%
Hunter Harvey,BAL,27.30%,36.40%
Sean Poppen,MIN,27.30%,18.20%
Joel Kuhnel,CIN,32.10%,35.70%
Huascar Ynoa,ATL,25.00%,58.30%
Chris Martin,- - -,30.10%,40.40%
Martin Perez,MIN,29.30%,35.20%
Ross Stripling,LAD,30.70%,36.10%
Luis Avilan,NYM,28.70%,28.70%
Dustin May,LAD,27.30%,36.00%
Sonny Gray,CIN,31.30%,38.10%
Joe Smith,HOU,30.40%,46.40%
Taylor Rogers,MIN,31.30%,31.60%
Cy Sneed,HOU,28.60%,44.60%
Jose Alvarado,TBR,29.90%,35.00%
Wes Parsons,- - -,28.90%,33.00%
Charlie Morton,TBR,30.10%,33.90%
Michael Wacha,STL,29.90%,39.50%
Miles Mikolas,STL,29.60%,41.10%
Pedro Payano,TEX,29.00%,41.40%
Bryan Shaw,COL,30.90%,35.60%
Scott Oberg,COL,30.90%,31.70%
Jairo Diaz,COL,31.30%,36.60%
Austin Adams,- - -,31.70%,41.70%
Jesse Biddle,- - -,29.20%,48.00%
Bryan Garcia,DET,33.30%,33.30%
Jefry Rodriguez,CLE,31.10%,39.60%
Jacob Barnes,- - -,30.20%,39.60%
Brent Suter,MIL,33.30%,34.70%
Geoff Hartlieb,PIT,29.80%,40.90%
Rich Hill,LAD,31.90%,37.20%
Rookie Davis,PIT,29.00%,36.40%
Shane Carle,ATL,29.00%,38.70%
Alec Mills,CHC,31.50%,43.50%
Brock Burke,TEX,32.20%,31.20%
Aaron Sanchez,- - -,30.30%,39.80%
Kolby Allard,TEX,29.10%,37.30%
Alex Cobb,BAL,30.00%,46.00%
Pablo Lopez,MIA,31.20%,36.60%
Jandel Gustave,SFG,28.40%,42.10%
Ivan Nova,CHW,30.30%,33.10%
Patrick Corbin,WSN,32.60%,34.50%
Matt Barnes,BOS,31.10%,30.60%
Ross Detwiler,CHW,34.50%,36.40%
Edinson Volquez,TEX,30.20%,47.20%
Nate Jones,CHW,34.50%,37.90%
Alex Avila,ARI,33.30%,16.70%
Mark Reynolds,COL,40.00%,0.00%
Robbie Erlin,SDP,29.80%,43.70%
Archie Bradley,ARI,30.10%,42.30%
Kevin Plawecki,CLE,33.30%,33.30%
Tyler Mahle,CIN,31.30%,36.20%
Richard Urena,TOR,28.60%,14.30%
Dennis Santana,LAD,26.70%,33.30%
Dylan Moore,SEA,25.00%,37.50%
Mike Brosseau,TBR,35.30%,41.20%
Spencer Turnbull,DET,32.30%,41.40%
Noah Syndergaard,NYM,32.10%,28.90%
Eduardo Rodriguez,BOS,32.50%,28.70%
Jalen Beeks,TBR,30.60%,39.70%
Tyler Glasnow,TBR,33.80%,28.80%
Francisco Liriano,PIT,33.80%,30.50%
Hector Rondon,HOU,33.70%,32.40%
Luis Cessa,NYY,32.90%,35.00%
Chasen Bradford,SEA,35.20%,33.30%
Yoan Lopez,ARI,29.70%,50.30%
Andrew Chafin,ARI,29.30%,38.00%
Sean Newcomb,ATL,33.50%,35.70%
Ariel Jurado,TEX,31.60%,46.00%
Steve Cishek,CHC,34.30%,27.00%
Phil Maton,- - -,30.70%,34.50%
Clayton Kershaw,LAD,33.00%,41.90%
Ian Gibaut,- - -,29.70%,48.60%
Corbin Burnes,MIL,31.00%,42.10%
Masahiro Tanaka,NYY,32.80%,39.10%
Brian Flynn,KCR,29.30%,43.30%
Pete Fairbanks,- - -,30.00%,52.50%
Miguel Castro,BAL,33.80%,30.00%
Luis Garcia,LAA,32.80%,39.30%
Nick Margevicius,SDP,30.60%,37.20%
Jose Quintana,CHC,31.00%,38.20%
Buck Farmer,DET,33.00%,40.90%
Cole Hamels,CHC,33.00%,36.40%
Matt Harvey,LAA,29.90%,42.60%
Garrett Richards,SDP,30.40%,50.00%
Cam Bedrosian,LAA,33.30%,40.80%
James Hoyt,CLE,35.00%,50.00%
Steven Matz,NYM,33.00%,36.50%
Gregory Soto,DET,33.50%,44.90%
Cory Gearrin,- - -,31.50%,33.90%
Sam Coonrod,SFG,35.10%,28.00%
Darwinzon Hernandez,BOS,31.70%,32.80%
Joe Ross,WSN,31.30%,31.80%
Andrew Cashner,- - -,34.20%,37.60%
Kyle Freeland,COL,32.90%,40.50%
Aroldis Chapman,NYY,29.80%,34.10%
Gio Gonzalez,MIL,31.40%,32.30%
Trevor Hildenberger,MIN,27.00%,39.70%
Matt Shoemaker,TOR,36.50%,39.20%
Alex Wilson,MIL,28.60%,42.90%
Felix Hernandez,SEA,34.50%,40.50%
DJ Johnson,COL,32.90%,35.70%
Brandon Woodruff,MIL,32.10%,36.50%
Mike Leake,- - -,33.80%,41.10%
Kirby Yates,SDP,34.70%,42.60%
Alex Young,ARI,35.00%,42.10%
Michael Lorenzen,CIN,32.30%,32.90%
Ronald Bolanos,SDP,29.10%,48.20%
Nick Pivetta,PHI,31.60%,39.80%
Nick Ramirez,DET,33.80%,41.20%
Jorge Lopez,KCR,33.90%,39.30%
Zack Greinke,- - -,33.10%,36.20%
Ryan Eades,- - -,33.30%,54.50%
Travis Lakins,BOS,34.70%,35.60%
Dylan Cease,CHW,33.70%,30.30%
Chi Chi Gonzalez,COL,32.00%,36.90%
Yu Darvish,CHC,33.60%,31.30%
Trevor Cahill,LAA,33.90%,45.30%
Ryan Burr,CHW,35.10%,25.90%
Blaine Hardy,DET,36.00%,39.30%
Ty Buttrey,LAA,34.00%,47.70%
Wily Peralta,KCR,33.80%,44.30%
Shaun Anderson,SFG,30.70%,40.10%
Xavier Cedeno,CHC,33.30%,66.70%
Robert Stock,SDP,37.50%,50.00%
Mike Freeman,CLE,37.50%,25.00%
Jose Osuna,PIT,33.30%,22.20%
John Curtiss,LAA,37.50%,25.00%
Joe Harvey,- - -,34.60%,38.50%
Jarlin Garcia,MIA,35.20%,34.90%
Shane Greene,- - -,34.90%,36.90%
Anthony Swarzak,- - -,34.60%,40.60%
Kyle Wright,ATL,31.70%,42.60%
Chris Mazza,NYM,29.60%,37.00%
Dylan Covey,CHW,32.00%,31.70%
Steven Brault,PIT,34.10%,38.40%
Homer Bailey,- - -,34.00%,42.90%
Robert Gsellman,NYM,34.10%,31.90%
Joey Lucchesi,SDP,36.10%,37.00%
Tyler Beede,SFG,33.80%,46.50%
Yonny Chirinos,TBR,33.30%,33.50%
Jon Lester,CHC,33.40%,38.60%
Blake Treinen,OAK,33.10%,36.70%
Corey Oswalt,NYM,31.80%,21.70%
Zach Eflin,PHI,34.50%,37.90%
Sam Gaviglio,TOR,36.80%,34.50%
Jacob deGrom,NYM,34.60%,29.70%
Josh Taylor,BOS,34.50%,30.70%
Dereck Rodriguez,SFG,34.00%,42.40%
R.J. Alaniz,- - -,35.30%,31.40%
Carson Fulmer,CHW,34.50%,34.10%
Hector Neris,PHI,35.70%,41.70%
Matt Carasiti,SEA,39.30%,28.60%
Tyler Olson,CLE,35.50%,31.90%
Evan Phillips,BAL,30.10%,32.00%
Wander Suero,WSN,32.10%,37.60%
Walker Lockett,NYM,32.90%,31.30%
Chad Sobotka,ATL,35.10%,47.30%
Chaz Roe,TBR,35.40%,33.60%
Tyler Anderson,COL,32.90%,29.20%
Connor Sadzeck,SEA,36.50%,38.10%
Joe Musgrove,PIT,35.40%,37.10%
Yoshihisa Hirano,ARI,35.40%,38.80%
Shane Bieber,CLE,35.00%,42.60%
Erasmo Ramirez,BOS,36.40%,33.30%
Jake Faria,- - -,32.30%,34.90%
James Karinchak,CLE,30.80%,46.20%
Jordan Zimmermann,DET,33.60%,42.70%
Yusei Kikuchi,SEA,35.40%,37.70%
Cal Quantrill,SDP,35.00%,41.50%
Sandy Alcantara,MIA,35.90%,34.60%
Oliver Perez,CLE,35.20%,31.80%
Gabriel Ynoa,BAL,37.90%,35.90%
Trevor Rosenthal,- - -,35.10%,28.90%
Tony Watson,SFG,35.70%,35.80%
Nathan Eovaldi,BOS,36.30%,37.10%
Austin Brice,MIA,34.40%,35.90%
Alex Colome,CHW,36.90%,37.60%
Walker Buehler,LAD,34.80%,41.80%
Zack Wheeler,NYM,35.30%,31.40%
Clay Buchholz,TOR,36.70%,38.60%
Ryan Feierabend,TOR,37.50%,29.20%
Jakob Junis,KCR,34.70%,42.60%
Ryan Yarbrough,TBR,35.90%,30.80%
Mitch Keller,PIT,32.20%,35.90%
Buddy Boshers,TOR,37.30%,33.30%
Kyle McGowin,WSN,36.50%,41.50%
Jon Duplantier,ARI,36.50%,45.30%
Jesse Chavez,TEX,34.30%,42.00%
Zack Godley,- - -,35.70%,38.80%
Felix Pena,LAA,35.20%,41.70%
Alex Gordon,KCR,33.30%,40.00%
Tim Melville,COL,36.00%,40.40%
Ian Kennedy,KCR,37.40%,33.10%
Chris Sale,BOS,36.10%,36.00%
Kyle Hendricks,CHC,34.80%,33.80%
Will Smith,SFG,35.50%,39.30%
Greg Holland,ARI,38.40%,41.40%
Javy Guerra,SDP,40.70%,37.00%
John Schreiber,DET,31.40%,28.60%
Merrill Kelly,ARI,35.60%,42.70%
Chris Stratton,- - -,33.90%,37.80%
Daniel Ponce de Leon,STL,38.50%,35.00%
Daniel Norris,DET,36.40%,38.40%
Ryan Tepera,TOR,35.30%,42.00%
Jesse Hahn,KCR,42.90%,50.00%
Ben Heller,NYY,40.00%,68.80%
Matt Hall,DET,34.30%,38.60%
A.J. Puk,OAK,41.40%,41.40%
Cionel Perez,HOU,38.70%,67.70%
Adam Warren,SDP,36.90%,40.70%
Trevor Gott,SFG,37.20%,39.10%
Josh Osich,CHW,36.60%,35.20%
David Price,BOS,35.50%,36.90%
Dan Altavilla,SEA,39.40%,29.40%
Aaron Brooks,- - -,38.10%,36.80%
Felipe Vazquez,PIT,36.70%,36.40%
Lou Trivino,OAK,39.30%,35.40%
Jesus Tinoco,COL,37.30%,36.40%
Mike Clevinger,CLE,35.60%,33.00%
Edwin Jackson,- - -,37.10%,47.00%
Zack Littell,MIN,33.70%,50.50%
Carlos Rodon,CHW,37.60%,36.20%
Heath Fillmyer,KCR,36.70%,39.20%
Branden Kline,BAL,34.60%,40.60%
Alex Wood,CIN,33.60%,44.20%
Touki Toussaint,ATL,39.00%,34.20%
Junior Guerra,MIL,38.50%,38.30%
Devin Williams,MIL,36.40%,31.10%
Luis Escobar,PIT,38.10%,36.40%
Jose Berrios,MIN,37.40%,36.30%
Carlos Carrasco,CLE,36.30%,40.10%
Anthony DeSclafani,CIN,38.20%,40.50%
Brad Brach,- - -,35.10%,34.70%
Tayron Guerrero,MIA,39.70%,44.30%
Jon Edwards,CLE,39.10%,39.10%
Mike Wright Jr.,- - -,35.00%,40.80%
Wei-Chieh Huang,TEX,37.50%,50.00%
Zach Davies,MIL,36.30%,38.20%
Nick Kingham,- - -,37.40%,39.40%
Dylan Bundy,BAL,37.70%,31.20%
Josh Sborz,LAD,34.50%,65.50%
Adrian Morejon,SDP,33.30%,43.30%
Andres Munoz,SDP,36.40%,44.60%
Chris Bassitt,OAK,37.60%,37.20%
Mike Morin,- - -,36.70%,35.90%
Jonathan Loaisiga,NYY,36.50%,40.00%
Seth Lugo,NYM,39.40%,32.80%
Scott Barlow,KCR,36.60%,37.10%
Enyel De Los Santos,PHI,35.50%,37.50%
Stephen Tarpley,NYY,33.30%,36.20%
Alex McRae,PIT,38.30%,42.60%
Aaron Civale,CLE,37.40%,38.40%
Blake Snell,TBR,36.30%,34.80%
Luke Weaver,ARI,37.80%,43.70%
Rafael Montero,TEX,37.50%,41.70%
Corey Kluber,CLE,37.30%,37.50%
Marco Gonzales,SEA,38.00%,34.20%
Max Scherzer,WSN,38.10%,35.70%
Nick Vincent,- - -,34.60%,43.50%
Jacob Waguespack,TOR,37.80%,38.70%
A.J. Minter,ATL,34.50%,45.50%
Shelby Miller,TEX,38.90%,43.90%
Matt Magill,- - -,35.70%,40.60%
Kenta Maeda,LAD,38.30%,32.50%
Kevin Gausman,- - -,35.40%,40.00%
Rogelio Armenteros,HOU,35.30%,40.40%
Zac Reininger,DET,34.60%,46.70%
Tyler Webb,STL,39.00%,37.80%
Lance Lynn,TEX,38.30%,39.00%
Tyler Skaggs,LAA,35.30%,42.30%
Josh Lucas,BAL,43.50%,28.30%
Sam Howard,COL,37.70%,41.80%
Austin Adams,- - -,39.60%,37.70%
Caleb Ferguson,LAD,36.80%,41.00%
Eric Lauer,SDP,38.10%,41.60%
Jay Jackson,MIL,35.90%,36.90%
Seunghwan Oh,COL,36.40%,43.90%
Tyler Duffey,MIN,36.60%,43.50%
Zac Gallen,- - -,37.40%,39.90%
Kyle Crick,PIT,42.00%,30.10%
Corbin Martin,HOU,41.00%,36.10%
Pat Neshek,PHI,40.30%,35.30%
Blake Parker,- - -,37.00%,44.80%
Ryne Harper,MIN,37.30%,44.20%
Jack Flaherty,STL,38.30%,37.60%
Dillon Peters,LAA,38.50%,44.80%
Michel Baez,SDP,37.60%,38.40%
Drew Pomeranz,- - -,37.90%,37.80%
Mike Fiers,OAK,38.80%,39.00%
J.A. Happ,NYY,38.80%,40.00%
Gerrit Cole,HOU,39.40%,33.90%
Wade LeBlanc,SEA,39.30%,35.00%
Brian Johnson,BOS,41.20%,42.40%
Zach Plesac,CLE,38.50%,38.10%
Collin McHugh,HOU,37.50%,38.30%
Derek Holland,- - -,40.10%,43.70%
Dario Agrazal,PIT,39.50%,32.10%
Tommy Hunter,PHI,30.80%,30.80%
Jeff Mathis,TEX,37.50%,50.00%
Russell Martin,LAD,45.50%,27.30%
Pablo Sandoval,SFG,50.00%,50.00%
Hernan Perez,MIL,50.00%,50.00%
Ian Kinsler,SDP,0.00%,66.70%
Sean Rodriguez,PHI,33.30%,66.70%
JB Shuck,PIT,50.00%,25.00%
Ian Desmond,COL,25.00%,25.00%
Wade Davis,COL,38.30%,39.80%
Steven Wright,BOS,34.80%,47.80%
Ehire Adrianza,MIN,28.60%,71.40%
Gerardo Parra,WSN,0.00%,100.00%
Brian Moran,MIA,38.50%,46.70%
Mike Minor,TEX,40.00%,35.40%
Max Stassi,HOU,0.00%,100.00%
Brad Boxberger,KCR,39.50%,31.20%
Aaron Altherr,PHI,33.30%,33.30%
Bryan Holaday,MIA,0.00%,0.00%
Robbie Ray,ARI,37.00%,43.40%
Adam Morgan,PHI,41.00%,33.30%
Jose Peraza,CIN,50.00%,75.00%
Jose Rondon,CHW,40.00%,60.00%
Adam Conley,MIA,37.90%,39.60%
Kyle Farmer,CIN,40.00%,20.00%
Victor Caratini,CHC,37.50%,50.00%
Yacksel Rios,- - -,36.60%,35.70%
Sean Manaea,OAK,41.20%,47.10%
Keury Mella,CIN,33.30%,41.70%
Chris Ellis,KCR,25.00%,50.00%
Austen Williams,WSN,40.00%,60.00%
James Norwood,CHC,40.00%,40.00%
Reed Garrett,DET,43.40%,52.80%
Sean Reid-Foley,TOR,42.40%,45.50%
Dinelson Lamet,SDP,36.30%,35.80%
Jose Rodriguez,LAA,40.00%,31.70%
Miguel Diaz,SDP,36.40%,27.30%
Pedro Avila,SDP,40.00%,33.30%
Cole Irvin,PHI,34.40%,46.30%
Stephen Nogosek,NYM,38.50%,38.50%
J.D. Hammer,PHI,41.10%,41.10%
Jesus Luzardo,OAK,42.30%,34.60%
Yennsy Diaz,TOR,33.30%,33.30%
Adrian Sampson,TEX,40.40%,48.00%
CC Sabathia,NYY,40.10%,37.70%
Tanner Roark,- - -,36.60%,36.90%
Julio Urias,LAD,39.20%,35.40%
Roberto Osuna,HOU,39.40%,36.10%
Nick Wittgren,CLE,38.70%,49.40%
Jhoulys Chacin,- - -,38.10%,46.90%
Robert Dugger,MIA,39.80%,45.00%
Richard Rodriguez,PIT,42.90%,38.30%
Jordan Lyles,- - -,41.30%,38.50%
Anibal Sanchez,WSN,39.20%,31.60%
Hector Velazquez,BOS,39.80%,37.70%
Adam Ottavino,NYY,41.10%,34.20%
Devin Smeltzer,MIN,39.90%,41.10%
Lewis Thorpe,MIN,34.90%,39.80%
Mychal Givens,BAL,39.30%,30.80%
Julio Teheran,ATL,40.40%,38.70%
Jeremy Hellickson,WSN,40.50%,31.80%
Hansel Robles,LAA,40.40%,39.60%
Genesis Cabrera,STL,37.90%,44.80%
Noe Ramirez,LAA,40.60%,36.90%
Tony Gonsolin,LAD,43.50%,47.30%
Joakim Soria,OAK,39.40%,39.80%
Austin Davis,PHI,38.60%,45.60%
Jimmy Nelson,MIL,35.00%,40.00%
Wei-Yin Chen,MIA,38.40%,44.30%
Sal Romano,CIN,40.40%,38.50%
Elvis Luciano,TOR,40.00%,41.90%
Kyle Barraclough,- - -,40.80%,42.60%
Montana DuRapau,PIT,35.10%,40.40%
Chris Paddack,SDP,42.30%,42.10%
Matt Wisler,- - -,38.50%,37.20%
Tyler Kinley,MIA,39.70%,32.60%
Andrew Miller,STL,39.50%,45.80%
Daniel Stumpf,DET,37.40%,46.70%
Tyler Alexander,DET,38.20%,40.80%
Domingo German,NYY,40.60%,41.20%
Glenn Sparkman,KCR,39.50%,41.60%
Ken Giles,TOR,42.10%,38.00%
Eduardo Jimenez,DET,41.70%,38.90%
Trevor Bauer,- - -,40.40%,41.30%
Kelvin Herrera,CHW,38.30%,28.50%
Dovydas Neverauskas,PIT,41.20%,44.10%
Jose Ruiz,CHW,40.30%,27.20%
David Phelps,- - -,43.00%,32.30%
Trevor Williams,PIT,40.10%,32.80%
Tony Sipp,WSN,40.60%,28.10%
Rick Porcello,BOS,41.50%,34.20%
Chris Archer,PIT,39.50%,40.10%
Ryan Borucki,TOR,42.90%,53.60%
Gerson Bautista,SEA,36.40%,39.40%
Travis Bergen,SFG,40.40%,59.60%
Taylor Clarke,ARI,43.50%,38.90%
Mike Foltynewicz,ATL,40.20%,40.30%
Jason Vargas,- - -,42.30%,39.50%
Tim Collins,CHC,36.70%,35.50%
Luis Severino,NYY,45.80%,25.00%
Carlos Estevez,COL,42.10%,40.40%
Erik Swanson,SEA,41.80%,33.50%
Keone Kela,PIT,41.90%,27.00%
Jose Cisnero,DET,41.40%,36.00%
James Paxton,NYY,42.60%,37.90%
Ty Blach,- - -,39.20%,46.10%
Thyago Vieira,CHW,41.70%,33.30%
Rico Garcia,COL,45.50%,52.20%
Matt Strahm,SDP,40.80%,44.10%
Daniel Mengden,OAK,40.50%,42.40%
Justin Anderson,LAA,39.30%,39.50%
Joseph Palumbo,TEX,38.80%,54.00%
Michael Pineda,MIN,40.60%,39.30%
Brad Peacock,HOU,43.40%,38.80%
Parker Markel,- - -,40.90%,39.40%
Dominic Leone,STL,40.90%,46.40%
Kyle Bird,TEX,47.40%,42.10%
Trey Wingenter,SDP,40.20%,39.80%
Matthew Festa,SEA,42.90%,35.40%
Ryan Carpenter,DET,39.70%,45.90%
Jonathan Holder,NYY,42.60%,37.70%
Jeff Samardzija,SFG,41.30%,40.20%
Roenis Elias,- - -,39.20%,31.30%
Drew Gagnon,NYM,44.00%,37.40%
Justin Dunn,SEA,50.00%,31.30%
Josh A. Smith,BOS,39.80%,37.40%
Madison Bumgarner,SFG,41.60%,43.80%
Danny Duffy,KCR,42.00%,39.10%
Jacob Webb,ATL,44.90%,38.90%
Aaron Wilkerson,MIL,43.30%,35.00%
Griffin Canning,LAA,44.50%,41.60%
Jimmy Yacabonis,BAL,42.50%,41.00%
Lucas Giolito,CHW,42.80%,32.00%
Edwin Diaz,NYM,43.80%,48.10%
Reyes Moronta,SFG,44.60%,35.70%
Chad Green,NYY,42.40%,44.80%
Danny Salazar,CLE,50.00%,41.70%
Chandler Shepherd,BAL,40.70%,47.50%
Matt Wotherspoon,BAL,28.60%,38.10%
Kevin Ginkel,ARI,41.40%,39.70%
Austin Voth,WSN,41.60%,33.30%
Jordan Yamamoto,MIA,43.10%,48.00%
Jose Urquidy,HOU,44.80%,36.70%
Jose Suarez,LAA,42.70%,47.70%
Matt Koch,ARI,43.60%,43.60%
